from,to,year,type,pps
AFC,GON,2023,1,"0,6"
AI,AFC,2023,2,"0,6"
CFC,FL,2023,1,1
MP,CFC,2023,2,1
TH,RYM,2023,1,"1,2"
AP,TH,2023,2,"2,6"
LU,JG,2023,1,"0,2"
SA,LU,2023,2,"0,25"
TH,CSTE,2023,1,1
RYM,TH,2023,2,"0,8"
LEC,ASAD,2023,1,"0,2"
DS,LEC,2023,2,1
LEC,BR,2023,1,"0,2"
ASAD,LEC,2023,2,1
BOFC,PV,2023,1,"0,2"
RH,BOFC,2023,2,2
TH,AC,2023,1,2
CSTE,TH,2023,2,1
LU,MSKU,2023,1,"0,4"
JG,LU,2023,2,"1,4"
SOFC,NJ,2023,1,"0,6"
RS,SOFC,2023,2,"1,4"
LU,JMA,2023,1,"0,6"
MSKU,LU,2023,2,"0,33"
EVFC,PT,2023,1,"0,2"
SD,EVFC,2023,2,"1,2"
WW,SDA,2023,1,"0,2"
MSKU,WW,2023,2,"1,4"
SOFC,RHA,2023,1,1
RS,SOFC,2023,2,"1,4"
AV,ADA,2022,1,"0,8"
UM,AV,2022,2,2
SOFC,RS,2022,1,1
NJ,SOFC,2022,2,"0,6"
AV,STGE,2022,1,1
ADA,AV,2022,2,"1,5"
WW,BL,2022,1,1
SDA,WW,2022,2,"0,8"
BOFC,PV,2022,1,"0,4"
MMC,BOFC,2022,2,0
CFC,GP,2022,1,"1,6"
FL,CFC,2022,2,"0,6"
CFC,TT,2022,1,"1,4"
GP,CFC,2022,2,"2,2"
BHA,ACR,2022,1,2
RDZ,BHA,2022,2,"0,4"
AFC,SPA,2022,1,"1,2"
GON,AFC,2022,2,"1,8"
FCW,XM,2021,1,"0,8"
CR,FCW,2021,2,"1,2"
NU,SBR,2021,1,"0,4"
GJ,NU,2021,2,"0,67"
TH,NES,2021,1,"1,2"
AC,TH,2021,2,"2,2"
AV,DS,2021,1,0
STGE,AV,2021,2,"1,8"
NU,GJ,2021,1,"0,4"
EHO,NU,2021,2,1
NOR,DFA,2021,1,1
DS,NOR,2021,2,1
MU,OGS,2021,1,"0,6"
MCA,MU,2021,2,2
MU,MCA,2021,1,"1,4"
RR,MU,2021,2,2
EVFC,DFA,2022,1,"0,2"
FL,EVFC,2022,2,"0,6"
FCW,CR,2022,1,"0,2"
RH,FCW,2022,2,"0,8"
LU,MBI,2022,1,"0,2"
JMA,LU,2022,2,"1,4"
FCBU,SD,2022,1,"0,6"
MJA,FCBU,2022,2,2
FCBU,MJA,2022,1,"0,8"
VK,FCBU,2022,2,"0,2"
MU,RR,2022,1,"0,8"
ETH,MU,2022,2,"1,8"
EVFC,CA,2021,1,"1,4"
RB,EVFC,2021,2,2
BOFC,RH,2021,1,"1,2"
PV,BOFC,2021,2,1
FFC,SPA,2021,1,"0,2"
MSI,FFC,2021,2,"1,6"
TH,RYM,2021,1,"1,8"
NES,TH,2021,2,"1,8"
WW,NES,2021,1,"0,8"
BL,WW,2021,2,"0,6"
WBA,SLB,2020,1,"0,8"
SA,WBA,2020,2,"0,8"
CFC,FL,2021,1,"0,8"
TT,CFC,2021,2,"2,6"
SU,CW,2021,1,"0,6"
PH,SU,2021,2,"0,6"
TH,JM,2021,1,1
RYM,TH,2021,2,"1,8"
QSF,FCW,2019,2,"0,2"
FCW,JG,2019,1,"0,6"
JM,TH,2019,2,"2,4"
TH,MP,2019,1,"0,6"
FLJ,ARFC,2019,2,1
ARFC,UM,2019,1,"0,6"
HM,FCW,2019,2,"0,25"
FCW,QSF,2019,1,"0,8"
DF,EVFC,2019,2,"1,25"
EVFC,MSI,2019,1,"0,8"
NP,FCW,2019,2,2
FCW,HM,2019,1,"0,8"
CA,EVFC,2019,2,2
EVFC,DF,2019,1,1
MA,ARFC,2019,2,"1,2"
ARFC,FLJ,2019,1,1
DM,WHU,2019,2,"0,8"
WHU,MPE,2019,1,"0,6"
HM,FCW,2020,2,0
FCW,NP,2020,1,"1,2"
CFC,AC,2018,1,2
MS,CFC,2018,2,3
FFC,SJO,2018,1,0
CR,FFC,2018,2,"0,8"
SOFC,MHU,2018,1,"0,6"
KDA,SOFC,2018,2,0
SOFC,KDA,2018,1,0
RHA,SOFC,2018,2,"1,2"
MU,JM,2018,1,"1,2"
OGS,MU,2018,2,3
HT,DWA,2019,1,"0,2"
MHUD,HT,2019,2,0
HT,MHUD,2019,1,0
JSI,HT,2019,2,"0,6"
LEC,CPU,2019,1,"0,2"
MST,LEC,2019,2,3
LEC,MST,2019,1,3
BR,LEC,2019,2,"2,4"
BHA,CH,2019,1,"0,6"
GP,BHA,2019,2,1
CFC,MS,2019,1,"1,2"
FL,CFC,2019,2,"1,6"
NU,RB,2019,1,2
SBR,NU,2019,2,"0,8"
WHU,DM,2018,1,"1,4"
MPE,WHU,2018,2,"0,6"
EVFC,SA,2018,1,"1,6"
MSI,EVFC,2018,2,"1,2"
ARFC,AW,2018,1,"1,8"
UM,ARFC,2018,2,"1,8"
WBA,APAR,2018,1,0
DMO,WBA,2018,2,"2,2"
SOFC,MAP,2018,1,1
MHU,SOFC,2018,2,"0,8"
FCW,MSI,2018,1,"0,8"
JG,FCW,2018,2,2
STO,MHU,2018,1,"0,8"
PL,STO,2018,2,"1,2"
SWA,PCL,2018,1,"0,8"
CC,SWA,2018,2,2
WBA,TP,2017,1,"0,4"
APAR,WBA,2017,2,"0,4"
EVFC,DU,2017,1,"1,4"
SA,EVFC,2017,2,"2,2"
WBA,TP,2017,1,"0,2"
GME,WBA,2017,2,1
WHU,SLB,2017,1,1
DM,WHU,2017,2,"0,8"
EVFC,RK,2017,1,"0,8"
DU,EVFC,2017,2,"1,4"
LEC,CSH,2017,1,"1,2"
CPU,LEC,2017,2,"1,6"
BOFC,PV,2017,1,0
RH,BOFC,2017,2,"0,6"
FCW,WM,2017,1,0
MSI,FCW,2017,2,"1,6"
BOFC,SA,2017,1,"0,6"
FDB,BOFC,2017,2,0
SOFC,CPU,2017,1,1
MAP,SOFC,2017,2,"1,6"
FCMI,AKA,2017,1,"0,4"
SAGN,FCMI,2017,2,"0,4"
LEC,CR,2017,1,0
CSH,LEC,2017,2,3
SWA,ACU,2017,1,"1,5"
PCL,SWA,2017,2,"1,8"
HC,MPH,2017,1,"0,2"
MSI,HC,2017,2,"1,4"
SWA,BBR,2016,1,"0,6"
ACU,SWA,2016,2,"1,5"
BOFC,APAR,2016,1,"0,8"
SA,BOFC,2016,2,"0,2"
SWA,FGU,2016,1,"0,2"
BBR,SWA,2016,2,"0,4"
AFCS,SA,2016,1,"1,8"
DM,AFCS,2016,2,"0,2"
HC,SBR,2016,1,"0,8"
MPH,HC,2016,2,"1,4"
MU,LVG,2016,1,2
JM,MU,2016,2,"1,8"
EVFC,DU,2016,1,"1,2"
RK,EVFC,2016,2,"2,6"
FCW,QSF,2016,1,"0,8"
WM,FCW,2016,2,"1,4"
SOFC,RK,2016,1,"2,6"
CPU,SOFC,2016,2,1
MC,MPE,2016,1,"1,2"
PGU,MC,2016,2,3
CFC,GH,2016,1,"1,2"
AC,CFC,2016,2,2
AV,RGA,2016,1,0
EBL,AV,2016,2,0
EVFC,ROMA,2016,1,"0,8"
DU,EVFC,2016,2,"1,4"
NU,STMC,2016,1,"0,6"
RB,NU,2016,2,"0,8"
SWA,ACU,2016,1,"1,4"
FGU,SWA,2016,2,1
CFC,JM,2015,1,"0,8"
GH,CFC,2015,2,"1,4"
SWA,GM,2015,1,"0,2"
ACU,SWA,2015,2,1
AV,TSH,2015,1,0
RGA,AV,2015,2,"0,4"
LFC,BR,2015,1,1
JKLO,LFC,2015,2,"1,6"
AFCS,DA,2015,1,"0,4"
SA,AFCS,2015,2,"1,2"
NU,JCA,2015,1,"0,8"
STMC,NU,2015,2,"0,4"
LEC,NP,2015,1,2
CR,LEC,2015,2,"2,2"
WHU,SA,2015,1,"0,8"
DM,WHU,2015,2,"0,8"
AFCS,GPO,2015,1,"0,4"
DA,AFCS,2015,2,"1,4"
AV,SMA,2015,1,0
TSH,AV,2015,2,"1,2"
QPR,HRE,2015,1,"0,4"
CRA,QPR,2015,2,"0,6"
WBA,AIR,2015,1,"0,8"
RKE,WBA,2015,2,"0,4"
WBA,RKE,2015,1,"0,8"
TP,WBA,2015,2,"1,6"
NU,APAR,2015,1,"0,8"
STMC,NU,2015,2,"0,4"
BOFC,KM,2015,1,"0,6"
APAR,BOFC,2015,2,2
BOFC,TP,2014,1,"1,6"
KM,BOFC,2014,2,"0,5"
BOFC,KM,2014,1,"0,4"
NWA,BOFC,2014,2,"1,6"
BOFC,NWA,2014,1,"0,4"
KM,BOFC,2014,2,1
WBA,PME,2014,1,"0,6"
AIR,WBA,2014,2,1
TH,TSH,2014,1,2
MP,TH,2014,2,"1,4"
SOFC,MP,2014,1,"1,6"
RK,SOFC,2014,2,2
LVG,MU,2014,2,1
MU,DM,2014,1,"1,8"
NAD,NOR,2014,2,"0,2"
NOR,CH,2014,1,"0,8"
FMA,FFC,2014,2,"0,8"
FFC,RME,2014,1,"0,2"
GM,SWA,2014,2,1
SWA,ML,2014,1,"0,6"
PME,WBA,2014,2,"0,6"
WBA,KD,2014,1,"1,2"
OGS,CAR,2014,2,"0,6"
CAR,DK,2014,1,"0,8"
DK,CAR,2013,2,"0,8"
CAR,MMA,2013,1,"0,8"
KD,WBA,2013,2,"1,2"
WBA,SCL,2013,1,"0,2"
TH,AVB,2013,1,"1,4"
AVB,TH,2013,2,"2,6"
RME,FFC,2013,2,"1,2"
FFC,MJ,2013,1,0
KM,BOFC,2013,2,"0,8"
BOFC,IH,2013,1,0
TP,BOFC,2013,2,"1,2"
BOFC,KM,2013,1,"0,8"
KB,AFCS,2013,2,0
AFCS,PDC,2013,1,"0,2"
GPO,AFCS,2013,2,"1,2"
AFCS,KB,2013,1,0
MC,BK,2013,1,"1,5"
MPE,MC,2013,2,2
STO,TP,2013,1,"1,6"
MHU,STO,2013,2,"1,4"
MU,SAF,2013,1,"1,6"
DM,MU,2013,2,"1,4"
EVFC,DM,2013,1,"1,4"
DU,EVFC,2013,2,"1,4"
CFC,RB,2013,1,"2,6"
JM,CFC,2013,2,2
MC,ROM,2013,1,2
BK,MC,2013,2,"1,5"
AFCS,MON,2013,1,"0,4"
PDC,AFCS,2013,2,"1,4"
FCR,ED,2013,1,0
NADK,FCR,2013,2,"0,4"
SOFC,NADK,2013,1,"1,4"
MP,SOFC,2013,2,1
CFC,RDM,2012,1,1
RB,CFC,2012,2,"1,6"
QPR,MHU,2012,1,"0,4"
HRE,QPR,2012,2,"1,2"
AV,AML,2012,1,"0,6"
PL,AV,2012,2,"0,8"
WBA,RH,2012,1,"1,6"
SCL,WBA,2012,2,2
LFC,SKD,2012,1,"1,2"
BR,LFC,2012,2,"0,4"
NOR,PL,2012,1,"0,8"
CH,NOR,2012,2,"0,6"
TH,HRE,2012,1,2
AVB,TH,2012,2,"1,6"
SWA,BR,2012,1,"1,6"
GM,SWA,2012,2,1
CFC,AVB,2012,1,1
RDM,CFC,2012,2,2
WW,MMC,2012,1,"0,8"
TC,WW,2012,2,"0,2"
QPR,NWA,2012,1,"0,2"
MHU,QPR,2012,2,"0,8"
AFCS,SBR,2011,1,"0,4"
MON,AFCS,2011,2,2
SEFC,JL,2022,1,"0,8"
JS,SEFC,2022,2,1
FCE,FR,2022,1,"0,2"
JA,FCE,2022,2,"0,4"
VICF,UM,2022,1,"1,4"
QS,VICF,2022,2,"1,8"
RCC,EC,2022,1,"0,2"
CC,RCC,2022,2,"1,2"
JA,FCE,2022,1,"0,2"
PMA,FCE,2022,2,"0,4"
VCF,GG,2023,1,"0,8"
RBA,VCF,2023,2,"1,2"
FCE,PMA,2023,1,"0,8"
SBE,FCE,2023,2,0
SEFC,JS,2023,1,"0,8"
JLM,SEFC,2023,2,"2,6"
RVAD,PA,2023,1,"0,8"
PP,RVAD,2023,2,"1,4"
RCD,DMA,2023,1,"0,6"
LG,RCD,2023,2,"0,8"
GCF,QSF,2023,1,"0,4"
PBO,GCF,2023,2,"1,4"
RCC,CC,2023,1,"0,8"
RB,RCC,2023,2,"0,8"
UDA,RU,2023,1,1
VM,UDA,2023,2,"0,2"
RV,AI,2023,1,"0,6"
FR,RV,2023,2,"1,8"
ALA,JAC,2021,1,"0,2"
JLM,ALA,2021,2,"0,4"
GCF,MI,2021,1,"0,2"
QSF,GCF,2021,2,1
UDLE,PLO,2021,1,"0,4"
JPE,UDLE,2021,2,"0,4"
FCBA,RK,2021,1,"1,2"
SBA,FCBA,2021,2,1
FCE,FE,2021,1,"0,4"
SEMA,FCE,2021,2,"0,5"
FCE,SEMA,2021,1,"0,4"
FR,FCE,2021,2,"1,4"
UDLE,JPE,2021,1,"0,4"
AL,UDLE,2021,2,"0,8"
CCF,ACE,2022,1,"0,4"
SE,CCF,2022,2,"1,2"
GRFC,RMO,2022,1,"0,2"
RT,GRFC,2022,2,"0,8"
RCDM,LG,2022,1,0
JAG,RCDM,2022,2,"1,2"
ALA,JLM,2022,1,"0,4"
JV,ALA,2022,2,"1,2"
GRFC,RT,2022,1,"0,8"
AKA,GRFC,2022,2,"1,6"
RCD,VM,2022,1,"0,2"
LBL,RCD,2022,2,1
RCD,LBL,2022,1,"0,6"
DMA,RCD,2022,2,"0,8"
ABI,MAR,2022,1,"1,4"
EV,ABI,2022,2,2
ALA,JV,2022,1,"1,2"
LG,ALA,2022,2,"1,2"
VCF,PBO,2022,1,"1,2"
GG,VCF,2022,2,"1,2"
VCF,VO,2021,1,"1,4"
PBO,VCF,2021,2,2
GCF,PBO,2021,1,"0,8"
MI,GCF,2021,2,0
RVAD,SE,2021,1,"0,2"
PA,RVAD,2021,2,"0,8"
RM,ZIZI,2021,1,"2,6"
CA,RM,2021,2,"2,6"
GRFC,DMA,2021,1,"0,2"
RMO,GRFC,2021,2,"0,6"
VICF,JAC,2020,1,"1,2"
UM,VICF,2020,2,"1,6"
FCBA,QS,2020,1,"2,4"
RK,FCBA,2020,2,"1,4"
FCE,PA,2020,1,"1,4"
JA,FCE,2020,2,2
RCC,OGA,2020,1,"0,4"
EC,RCC,2020,2,"2,4"
ABI,GGA,2021,1,"1,4"
MAR,ABI,2021,2,"1,4"
SDH,MI,2021,1,"0,2"
PA,SDH,2021,2,"0,8"
ALA,PMA,2021,1,"0,8"
AB,ALA,2021,2,"0,8"
FCE,JA,2021,1,"0,4"
FE,FCE,2021,2,"1,2"
ALA,AB,2021,1,"0,2"
JAC,ALA,2021,2,"1,6"
VCF,JG,2021,1,"0,6"
VO,VCF,2021,2,"1,4"
ALC,VCF,2019,2,"1,6"
VCF,MAR,2019,1,2
PMA,RCD,2019,2,"0,6"
RCD,DG,2019,1,"0,8"
LC,CDL,2019,2,1
CDL,MAP,2019,1,"0,4"
OGA,RCC,2019,2,1
RCC,FE,2019,1,"0,6"
JAG,CDL,2019,2,1
CDL,LC,2019,1,"0,6"
AB,RCD,2019,2,"1,6"
RCD,PMA,2019,1,"0,4"
FCBA,EV,2020,2,"1,8"
QS,FCBA,2020,1,"2,4"
ATR,RBE,2020,2,"1,4"
RBE,RU,2020,1,"0,8"
FRU,RCD,2020,2,0
RCD,AB,2020,1,"0,8"
VO,VCF,2020,2,"1,4"
VCF,ALC,2020,1,"0,8"
JMU,ALA,2020,2,1
ALA,AG,2020,1,0
RBE,ATR,2020,1,"2,2"
MPE,RBE,2020,2,"1,2"
VCF,VO,2020,1,"1,4"
JG,VCF,2020,2,"1,4"
ALA,JMU,2020,1,1
PMA,ALA,2020,2,"0,8"
RCDM,VM,2020,1,"0,8"
LG,RCDM,2020,2,"1,6"
SDH,LF,2018,1,"0,2"
FR,SDH,2018,2,"0,4"
RM,JL,2018,1,"0,2"
SSO,RM,2018,2,"2,4"
RCC,AMO,2018,1,"0,8"
MCAR,RCC,2018,2,"1,4"
AB,EBE,2018,1,"0,4"
GGA,AB,2018,2,"2,2"
VICF,JAC,2018,1,1
LG,VICF,2018,2,"0,8"
RSO,AG,2018,1,"0,6"
IA,RSO,2018,2,"2,2"
VICF,LG,2019,1,"0,6"
JAC,VICF,2019,2,1
RCC,MCAR,2019,1,"0,8"
FE,RCC,2019,2,"1,4"
SEFC,PMA,2019,1,"0,8"
JC,SEFC,2019,2,"2,4"
RM,SSO,2019,1,"1,8"
ZIZI,RM,2019,2,2
RV,MI,2019,1,0
PJ,RV,2019,2,1
RCD,RU,2019,1,"2,2"
DG,RCD,2019,2,"0,8"
SDH,FR,2019,1,"1,4"
MI,SDH,2019,2,"0,8"
ALA,AB,2019,1,"0,8"
AG,ALA,2019,2,1
RBE,QS,2019,1,"1,4"
RU,RBE,2019,2,1
SEFC,JCU,2019,1,"1,4"
JL,SEFC,2019,2,2
RCD,DG,2018,1,"2,6"
RU,RCD,2018,2,"1,4"
RM,ZIZI,2018,1,"1,6"
JL,RM,2018,2,"2,6"
GFC,PMA,2018,1,"0,8"
EU,GFC,2018,2,"1,6"
ABI,CZ,2018,1,"0,6"
EBE,ABI,2018,2,"1,2"
SEFC,VMO,2018,1,2
PMA,SEFC,2018,2,"1,4"
RCC,JCU,2018,1,1
AMO,RCC,2018,2,"1,6"
RSO,IA,2018,1,"1,2"
AG,RSO,2018,2,"1,4"
CDL,AG,2018,1,"0,8"
MAP,CDL,2018,2,"0,2"
SEFC,VMO,2018,1,"0,6"
JC,SEFC,2018,2,"2,6"
RCD,QSF,2018,1,"0,2"
QSF,DG,2018,2,"2,6"
RSO,EU,2018,1,"0,8"
IA,RSO,2018,2,2
UDLE,JMU,2018,1,"0,2"
PLO,UDLE,2018,2,2
DLC,CPA,2018,1,"0,4"
CS,DLC,2018,2,"0,4"
FCM,MI,2018,1,"0,6"
JOG,FCM,2018,2,"0,4"
SEFC,EBE,2017,1,"1,4"
VMO,SEFC,2017,2,"0,8"
UDLP,PAY,2017,1,"0,2"
PJ,UDLP,2017,2,"1,2"
DLC,PME,2017,1,"1,4"
CPA,DLC,2017,2,"0,8"
VICF,FE,2017,1,"1,4"
JAC,VICF,2017,2,"2,6"
UDLP,MAMA,2017,1,"1,2"
PAY,UDLP,2017,2,0
ALA,AB,2017,1,0
GDB,ALA,2017,2,"0,6"
ALA,JACA,2017,1,"0,6"
AB,ALA,2017,2,"1,8"
VCF,PAY,2016,1,0
